prediction_id,image_id,vlm_name,compression_type,compression_level,category,cer,wer,bleu,gt_length,pred_length,length_ratio,condition
838,36,qwen2-vl,neural,6.000000,medium_documents,0.068396,0.067395,0.934449,3392,3160,0.931600,neural_q6.0
839,4,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,2864,2864,1.000000,neural_q6.0
840,8,qwen2-vl,neural,6.000000,long_documents,0.004622,0.008242,0.988653,4976,4953,0.995400,neural_q6.0
841,48,qwen2-vl,neural,6.000000,medium_documents,0.031067,0.034483,0.959142,2221,2215,0.997300,neural_q6.0
842,69,qwen2-vl,neural,6.000000,excluded_short_gt,3.941176,5.000000,0.067730,17,84,4.941200,neural_q6.0
843,52,qwen2-vl,neural,6.000000,long_documents,0.000583,0.001266,0.998854,5148,5145,0.999400,neural_q6.0
844,68,qwen2-vl,neural,6.000000,excluded_short_gt,0.033071,0.066038,0.917319,635,656,1.033100,neural_q6.0
845,42,qwen2-vl,neural,6.000000,excluded_short_gt,0.000000,0.000000,1.000000,91,91,1.000000,neural_q6.0
846,26,qwen2-vl,neural,6.000000,short_documents,0.000000,0.000000,1.000000,1230,1230,1.000000,neural_q6.0
847,105,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,1515,1515,1.000000,neural_q6.0
848,50,qwen2-vl,neural,6.000000,long_documents,0.007453,0.008750,0.988802,5501,5542,1.007500,neural_q6.0
849,70,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,2124,2124,1.000000,neural_q6.0
850,32,qwen2-vl,neural,6.000000,medium_documents,0.084270,0.108025,0.944091,1958,1953,0.997400,neural_q6.0
851,22,qwen2-vl,neural,6.000000,short_documents,0.029240,0.051282,0.932264,1026,1032,1.005800,neural_q6.0
852,21,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,1855,1855,1.000000,neural_q6.0
853,111,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,3181,3181,1.000000,neural_q6.0
854,6,qwen2-vl,neural,6.000000,short_documents,0.024076,0.037829,0.935840,3572,3487,0.976200,neural_q6.0
855,43,qwen2-vl,neural,6.000000,long_documents,0.236219,0.355820,0.545409,5152,5243,1.017700,neural_q6.0
856,18,qwen2-vl,neural,6.000000,short_documents,0.145047,0.080645,0.765060,2544,2175,0.855000,neural_q6.0
857,27,qwen2-vl,neural,6.000000,medium_documents,0.040476,0.088889,0.843828,1680,1673,0.995800,neural_q6.0
858,47,qwen2-vl,neural,6.000000,medium_documents,0.002934,0.009709,0.984800,2727,2729,1.000700,neural_q6.0
859,66,qwen2-vl,neural,6.000000,long_documents,0.002331,0.002442,0.996328,5149,5137,0.997700,neural_q6.0
860,30,qwen2-vl,neural,6.000000,excluded_short_gt,0.000000,0.000000,1.000000,380,380,1.000000,neural_q6.0
861,44,qwen2-vl,neural,6.000000,medium_documents,0.061651,0.059406,0.993462,2725,2725,1.000000,neural_q6.0
862,93,qwen2-vl,neural,6.000000,short_documents,0.000000,0.000000,1.000000,1205,1205,1.000000,neural_q6.0
863,51,qwen2-vl,neural,6.000000,short_documents,0.000000,0.000000,1.000000,667,667,1.000000,neural_q6.0
864,11,qwen2-vl,neural,6.000000,medium_documents,0.018210,0.018219,0.978526,3185,3239,1.017000,neural_q6.0
865,5,qwen2-vl,neural,6.000000,short_documents,0.002401,0.013986,0.984130,3749,3741,0.997900,neural_q6.0
866,10,qwen2-vl,neural,6.000000,long_documents,0.000000,0.000000,1.000000,5202,5202,1.000000,neural_q6.0
867,16,qwen2-vl,neural,6.000000,medium_documents,0.046059,0.237598,0.815443,2931,3064,1.045400,neural_q6.0
868,3,qwen2-vl,neural,6.000000,long_documents,0.000000,0.000000,1.000000,5547,5547,1.000000,neural_q6.0
869,14,qwen2-vl,neural,6.000000,excluded_short_gt,0.125984,0.117647,0.809643,127,124,0.976400,neural_q6.0
870,55,qwen2-vl,neural,6.000000,short_documents,0.000000,0.000000,1.000000,3311,3311,1.000000,neural_q6.0
871,76,qwen2-vl,neural,6.000000,medium_documents,0.012137,0.020588,0.978220,2719,2751,1.011800,neural_q6.0
872,49,qwen2-vl,neural,6.000000,short_documents,0.000000,0.000000,1.000000,1063,1063,1.000000,neural_q6.0
873,29,qwen2-vl,neural,6.000000,medium_documents,0.008713,0.020513,0.967456,2525,2525,1.000000,neural_q6.0
874,20,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,1764,1764,1.000000,neural_q6.0
875,75,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,2531,2531,1.000000,neural_q6.0
876,113,qwen2-vl,neural,6.000000,short_documents,0.000901,0.005495,0.987421,1110,1110,1.000000,neural_q6.0
877,45,qwen2-vl,neural,6.000000,medium_documents,0.000000,0.000000,1.000000,2270,2270,1.000000,neural_q6.0
878,99,qwen2-vl,neural,6.000000,short_documents,0.013728,0.007299,0.993769,947,934,0.986300,neural_q6.0
879,39,qwen2-vl,neural,6.000000,medium_documents,0.059716,0.081425,0.893152,2110,2079,0.985300,neural_q6.0
880,74,qwen2-vl,neural,6.000000,long_documents,0.004036,0.015656,0.974256,6442,6420,0.996600,neural_q6.0
881,101,qwen2-vl,neural,6.000000,long_documents,0.000650,0.004190,0.990924,4618,4616,0.999600,neural_q6.0
882,62,qwen2-vl,neural,6.000000,medium_documents,0.001046,0.002283,0.997940,2867,2864,0.999000,neural_q6.0
883,19,qwen2-vl,neural,6.000000,medium_documents,0.060861,0.068681,0.943031,2974,3000,1.008700,neural_q6.0
